objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Old Maid","10799","3","0","1","1","0","0","0","0","0","0","0","3","#small","","","","","53713864","4.65548","3.73545","1.0432","29576","3221","thing","Old Maid","2","6","5","5","5","1874","3,4,5,6","4","4–10","No necessary in-game text","","","","","","standalone","73854002056","","","","","","Parents","1","","","","","","",""
"Oltréé","293835","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","88446729","6.42743","7.46119","2.2371","1478","5131","thing","Oltréé","2","4","60","60","60","2021","1,2,3,4","2","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Omen: A Reign of War","94104","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","114968439","6.28938","7.28995","2.3301","1861","3964","thing","Omen: A Reign of War","2","2","30","30","30","2011","2","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"OMG","181245","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","103002665","5.49717","5.60241","1.2","25510","202","thing","OMG","2","6","20","20","10","2015","3,4,5","3","8","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"On a Scale of One to T-Rex","289018","5","1","1","0","0","0","0","0","1","0","0","5","","","","","tbd","64122263","5.52464","5.70213","1","17560","2696","thing","On a Scale of One to T-Rex","2","8","15","15","15","2019","4,5,6,7,8","6","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","852131006242","7.32","USD","","","2024-07-17","Amazon","1","Trade credit combo 15 black and read","","2024-07-21","","","",""
"On the Rocks","269418","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","79995321","5.68291","6.98676","1.6667","6522","807","thing","On the Rocks","1","4","90","90","45","2021","2,3,4","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"On the Underground","24773","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","116354166","6.22927","6.89272","2.4414","2070","2119","thing","On the Underground","2","5","60","60","60","2006","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"On the Underground: London / Berlin","281152","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","116354161","6.15944","7.21089","2.3243","2342","2543","thing","On the Underground: London / Berlin","2","5","60","60","45","2019","1,2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"On Tour","251412","6","8","0","1","0","0","0","0","0","0","0","3","#medium","Route Building","","","","67215794","6.43629","6.83197","1.3905","1459","8977","thing","On Tour","1","8","20","20","20","2019","1,2,3,4,5,6,7,8","2,4","8+","No necessary in-game text","","","","","","standalone","787790401940","","","","","2023-01-02","Mom","1","","","2023-01-02","","","",""
"On Tour: Paris and New York","360706","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","106917731","5.69264","6.97509","1.75","6295","1336","thing","On Tour: Paris and New York","1","8","30","30","20","2022","1,2,3,4,5,6,7,8","3,4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Once Upon a Line","375365","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","102260795","5.53019","7.30645","2.7","16160","71","thing","Once Upon a Line","1","5","180","180","120","2024","","1,2","10–12","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"ONDA","416952","0","0","0","0","0","0","0","1","0","0","1","3","","","","","","119343230","5.5484","6.67217","1.8","13145","143","thing","ONDA","2","5","40","40","30","2024","2,3,4,5","4","","","","","","","","standalone","","","","","","","","","","","","","","",""
"One Card Wonder","205249","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","98587741","5.60592","6.65074","1.4545","8896","519","thing","One Card Wonder","2","6","30","30","30","2022","2,3,4,5,6","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"One Earth","341005","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","101032306","5.54336","7.60714","2","13820","108","thing","One Earth","2","5","40","40","20","2022","3,4,5","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"One Key","263155","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","105087940","5.80395","6.48822","1.1579","4640","2406","thing","One Key","2","6","20","20","20","2019","2,3,4,5,6","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"One Night Ultimate Werewolf","147949","5.5","1","0","0","0","0","0","0","1","0","0","3","","","","","tbd","53700885","6.85882","7.0348","1.3803","663","57261","thing","One Night Ultimate Werewolf","3","10","10","10","10","2014","4,5,6,7,8,9,10","6,7,8","10+","No necessary in-game text","","","","","","standalone","","5","USD","","","2023-03-10","BGG","1","B2G1 for 9.25 in February 2019","","2023-03-10","","","",""
"One Week Ultimate Werewolf","252197","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","61934145","5.52841","5.75508","2","16615","1319","thing","One Week Ultimate Werewolf","3","7","60","60","45","2018","3,4,5,6,7","5,6","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Oneironauts","346677","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","101082107","5.56048","7.20729","1","11855","119","thing","Oneironauts","2","6","30","30","30","2022","4,5,6","5","6+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Onirim (Second Edition)","156336","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","57759027","6.73819","7.03879","1.6087","831","15635","thing","Onirim (Second Edition)","1","2","15","15","15","2014","1,2","1","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Onitama","160477","6","8","2","0","0","0","0","0","1","0","0","3","#large","Area Movement","","","","68367158","7.14351","7.34163","1.6588","347","38062","thing","Onitama","2","2","20","20","15","2014","2","2","8+","No necessary in-game text","","","","","","standalone","","15","USD","","","2022-06-18","BGG","1","Assumed trade cost estimate","","2022-06-18","","","",""
"Onitama: Way of the Wind","252999","6","1","0","0","0","0","0","0","0","0","0","3","","","","","","68367162","6.00637","7.44487","2.3333","0","5229","thing","Onitama: Way of the Wind","2","2","20","20","15","2018","2","2","8+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Open Season","391255","0","2","0","0","0","1","0","0","0","0","0","4","","","","","","121201059","5.52219","5.91366","2","18239","142","thing","Open Season","2","4","40","40","20","2024","2,3,4","2,3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Operation Barclay","404923","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","123170145","5.59317","6.99784","2","9498","652","thing","Operation Barclay","2","2","40","40","25","2024","2","2","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Ora et Labora","70149","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","77723848","7.29655","7.6778","3.8889","235","15242","thing","Ora et Labora","1","4","180","180","60","2011","1,2,3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Oracle of Delphi","193558","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","101921563","6.75814","7.29513","3.0338","799","7109","thing","The Oracle of Delphi","2","4","100","100","70","2016","2,3,4","3,4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Oranienburger Kanal","352695","0","0","0","0","0","0","0","1","0","0","1","4","","","","","","113358382","6.36672","7.96699","3.2222","1633","2136","thing","Oranienburger Kanal","1","2","45","45","45","2023","1,2","1,2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Orapa Mine","424152","0","0","0","0","0","0","0","1","0","0","1","4","","","","","","128986945","6.10036","7.48069","1.8846","2605","1800","thing","Orapa Mine","2","5","30","30","20","2024","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Orapa Space","448740","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","136455328","5.62754","7.86908","2","7992","441","thing","Orapa Space","2","5","25","25","20","2025","2","2","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Orb or Void","452453","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","138328307","0","10","0","0","0","thing","Orb or Void","2","8","30","30","20","2025","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"ORBORA","453237","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","136328514","0","10","0","0","0","thing","ORBORA","1","4","90","90","60","2026","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"ORC","192830","0","0","0","0","0","0","0","1","0","0","1","4","","","","","","58440199","5.6751","6.41702","1.5385","6697","2466","thing","ORC","2","2","10","10","5","2017","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Orchard: 9 card solitaire game","245487","0","3","0","0","0","0","0","1","0","0","1","4","","","","","","111556100","6.58833","7.24356","1.1947","1102","8769","thing","Orchard: 9 card solitaire game","1","1","10","10","5","2018","1","1","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Orconomics (Second Edition)","283850","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","101074170","5.54493","6.59623","2.2","13613","391","thing","Orconomics (Second Edition)","2","5","40","40","25","2022","3,4,5","4,5","","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Order and Chaos","147859","0","0","0","0","0","0","0","1","0","0","0","3","","","","","tbd","133542549","0","5.75","0","0","9","thing","Order and Chaos","2","2","5","5","5","1981","2","2","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Order Overload: Cafe","361214","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","106908275","5.85753","6.80304","1.2","4127","2208","thing","Order Overload: Cafe","2","6","20","20","20","2022","3,4,5,6","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Order Rush!!","437322","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","129085306","0","8","0","0","20","thing","Order Rush!!","3","8","15","15","5","2025","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"The Oregon Trail Card Game","205322","4","0","0","0","0","0","0","0","1","0","0","3","","","","","","53700507","4.63396","4.21703","1.1852","29578","11303","thing","The Oregon Trail Card Game","2","6","45","45","30","2016","3,4,5,6","5,6","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","4","USD","","","","Facebook Marketplace","1","","","","","","",""
"The Oregon Trail Game: Journey to Willamette Valley","256792","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","53759018","5.52534","5.79558","2.25","17368","1650","thing","The Oregon Trail Game: Journey to Willamette Valley","2","4","60","60","30","2018","2,3,4","2","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Orichalcum","355888","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","100567156","6.27325","7.11639","2.2121","1909","4165","thing","Orichalcum","2","4","60","60","45","2022","1,2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Oriflamme","287084","6","0","0","0","0","0","0","1","0","0","0","1","","","","","","80918945","6.55114","7.07879","1.6846","1172","8062","thing","Oriflamme","3","5","30","30","15","2019","3,4,5","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Origins: First Builders","322588","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","85075003","6.19065","7.03586","3.3111","2226","4335","thing","Origins: First Builders","1","4","120","120","60","2021","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Orion Duel","380134","0","2","0","0","0","0","0","1","0","0","0","3","","","","","","111363004","5.79288","7.01613","1.4444","4776","727","thing","Orion Duel","2","2","25","25","25","2023","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Orléans","164928","8.4","15","4","1","0","0","0","0","0","0","0","1","#macro","Deck Building","","","","60449409","7.85956","8.04757","3.0161","37","41966","thing","Orléans","2","5","90","90","90","2014","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","9781938146497","","","","","2021-01-01","Tiffany Allen","1","Deck Building","","2021-01-01","","","",""
"Orléans Stories","287275","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","79183707","5.63075","6.31846","3.85","7890","1675","thing","Orléans Stories","2","4","180","180","60","2019","2,3,4","3","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Orléans Stories: Expansion – Stories 3 & 4","317230","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","79183624","0","8.19231","3","0","212","thing","Orléans Stories: Expansion – Stories 3 & 4","2","4","120","120","60","2020","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Orléans: 5th Player Box","231964","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","79183130","5.86494","8.01969","2.875","0","2697","thing","Orléans: 5th Player Box","1","5","90","0","90","2017","5","5","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Orléans: Christmas Market","189623","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","79183289","5.58644","7.15628","2.5","0","921","thing","Orléans: Christmas Market","2","4","0","0","0","2015","2,3,4","2,3","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Orléans: Deluxe Edition","171905","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","79183709","6.72396","8.34841","3.0789","0","2990","thing","Orléans: Deluxe Edition","2","5","90","90","90","2015","2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Orléans: Drawbridge","231405","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","79183476","5.58801","7.67192","0","0","606","thing","Orléans: Drawbridge","2","4","0","0","0","2017","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Orléans: Estátua","307822","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","79183555","0","7.93846","0","0","95","thing","Orléans: Estátua","2","4","90","90","90","2018","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Orléans: Gaming Room","286020","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","79183915","5.53658","7.36857","3","0","424","thing","Orléans: Gaming Room","1","5","90","0","90","2019","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Orléans: Invasion","183682","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","79183715","7.18851","8.24568","3.3647","0","13496","thing","Orléans: Invasion","1","5","120","120","90","2015","1,2,3,4,5","3,4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Orléans: L'évêché de Tours","247797","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","79183663","5.53316","7.72171","0","0","285","thing","Orléans: L'évêché de Tours","2","4","90","90","90","2018","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Orléans: Neue Ortskarten N°1","179417","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","79184016","5.87052","7.60441","3.2222","0","3387","thing","Orléans: Neue Ortskarten N°1","2","5","90","0","90","2015","2,3,4,5","4","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Orléans: Neue Ortskarten N°2","184018","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","79184244","5.84276","7.59449","3.2222","0","3221","thing","Orléans: Neue Ortskarten N°2","2","5","0","0","0","2015","2,3,4","4","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Orléans: Neue Ortskarten N°3","185922","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","79184394","5.8527","7.63605","3","0","3235","thing","Orléans: Neue Ortskarten N°3","2","5","0","0","0","2015","2,3,4","4","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Orléans: Neue Ortskarten N°4","211082","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","79184445","5.83568","7.73626","3.1667","0","3041","thing","Orléans: Neue Ortskarten N°4","2","5","90","90","90","2016","2,3,4","2,3","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Orléans: Neue Ortskarten N°5","237163","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","79184574","5.76533","7.73141","3","0","2459","thing","Orléans: Neue Ortskarten N°5","2","5","90","90","90","2017","2,3,4","4","12+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Orléans: Opera","234593","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","79183513","5.5571","7.59361","2","0","401","thing","Orléans: Opera","2","4","90","90","90","2017","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Orléans: Prairie","210145","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","79183406","5.59226","7.15794","3","0","964","thing","Orléans: Prairie","2","4","0","0","0","2016","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Orléans: Promo Ortskarten N°1","237167","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","79184498","5.70739","7.72074","3","0","1986","thing","Orléans: Promo Ortskarten N°1","2","4","90","90","90","2017","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Orléans: Tavern & Depot","166842","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","79184046","5.67251","7.4655","3.2222","0","1175","thing","Orléans: Tavern & Depot","2","4","90","0","90","2014","2,3,4","4","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Orléans: The Plague","398047","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","111578087","5.76088","8.09282","2.8889","0","2093","thing","Orléans: The Plague","2","5","90","90","90","2023","2,3,4","3","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Orléans: Trade & Intrigue","204814","8","3","4","1","0","0","0","0","0","0","0","1","#large","Deck Building","","","","79183711","7.28506","8.38581","3.2203","0","14051","thing","Orléans: Trade & Intrigue","2","5","90","90","90","2016","2,3,4","3,4","12+","No necessary in-game text","","","","","","expansion","9781938146114","8.34","USD","","","2021-02-28","Gaming Goat","1","Full price: 18.49 (50 dollar gift used on multiple games)","","2021-02-28","","","",""
"Oros","313807","0","0","0","0","0","0","0","1","0","0","1","4","","","","","","84220243","6.14706","7.21942","3.3256","2390","4257","thing","Oros","1","4","120","120","60","2023","3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Oshiya Tokio","453564","6.6","1","0","0","0","1","0","0","0","0","1","3","","","","","","138846334","5.49384","5.2465","1","26217","55","thing","Oshiya Tokio","2","5","15","15","15","2025","4","4","Up to 8","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ostia","347767","0","0","0","0","0","0","0","1","0","0","1","4","","","","","","117395849","6.32396","7.95886","3.0217","1753","2233","thing","Ostia","1","4","120","120","100","2022","1,2,3,4","3","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Othello","2389","5","7","2","1","0","0","0","0","0","0","0","1","#large","Abstract Strategy","","","","53784604","5.95341","6.15311","2.0717","3400","15787","thing","Othello","2","2","30","30","30","1883","2","2","8+","No necessary in-game text","","","","","","standalone","778988674673","12.93","USD","","","2018-08-22","Amazon","1","","","2018-08-24","","","",""
"An Otter Won","322696","0","0","0","0","0","0","0","1","0","0","1","3","","","","","","88409291","5.6461","6.89456","1.4286","7405","806","thing","An Otter Won","2","2","15","15","5","2020","2","2","6+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Ouch!","352710","5","1","0","0","0","0","0","1","0","0","0","3","","","","","","103424012","5.63134","6.08259","1.0588","7867","2338","thing","Ouch!","2","5","15","15","10","2022","2,3,4,5","3,4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Out of Sorts","427097","0","0","0","0","0","0","0","1","0","0","1","4","","","","","","130753699","0","7.728","0","0","66","thing","Out of Sorts","2","4","20","20","15","2024","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"OUTFOX the FOX","431480","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","137300337","0","6.99524","1","0","46","thing","OUTFOX the FOX","3","10","60","60","20","2025","3,4,5,6,7,8,9,10","5,6,7,8,9,10","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Outfoxed!","172931","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","88044337","6.59631","7.1387","1.1014","1081","11441","thing","Outfoxed!","2","4","20","20","20","2014","2,3,4","3,4","4–10","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Outlive","191051","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","64307747","6.64919","7.2667","3.0353","988","8234","thing","Outlive","2","4","110","110","40","2017","2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Outside the Scope of BGG","23953","0","1","0","0","0","0","0","1","0","0","0","3","","","","","","109137118","5.75642","6.59576","1.6988","5222","3788","thing","Outside the Scope of BGG","0","0","0","0","0","0","","","2+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Overbooked","230200","6.2","2","0","0","0","0","0","0","1","0","0","3","#large #cubes","","","","","88421775","6.06615","6.98575","1.9706","2767","3183","thing","Overbooked","1","4","40","40","20","2018","1,2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","15","","","","2024-04-14","BGG","1","Sold BGG con 2024 vfm for 15","","2024-04-14","","","",""
"Overbooking","354328","0","1","0","0","0","0","0","1","0","0","0","3","","","","","","98848995","5.57395","6.50792","1.8","10752","438","thing","Overbooking","2","4","30","30","30","2022","3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Overboss Duel","378737","4","1","0","0","0","0","0","1","0","0","0","3","","","","","","107754516","5.55846","6.63893","2","12036","820","thing","Overboss Duel","2","2","30","30","20","2023","2","2","8","","","","","","","standalone","","","","","","","","","","","","","","",""
"Overboss: A Boss Monster Adventure","310192","6","1","3","0","0","0","0","1","1","0","0","1","","","","","","88446788","6.35739","7.28237","2.0385","1657","6112","thing","Overboss: A Boss Monster Adventure","1","5","30","30","20","2021","1,2,3,4,5","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","2022-10-04","Paul Kane","1","B2GO for 20.79 in Feb 2022. Sold 20 at DTW. ","","2022-10-04","","","",""
"Overparked","426229","0","0","0","0","0","0","0","1","0","0","1","3","","","","","","123475979","5.63582","7.36081","1.75","7720","326","thing","Overparked","1","5","30","30","20","2025","2,4,5","3,4","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Overstocked","297001","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","112260253","5.59702","6.7856","1.25","9315","334","thing","Overstocked","1","6","30","30","20","2022","2,3,4,5","3","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Ozark: Money, Influence and Control","367569","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","101740826","0","6.33333","1.6667","0","119","thing","Ozark: Money, Influence and Control","2","5","30","30","30","2022","3,4,5","4,5","","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Pacific Ocean","386216","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","113715386","5.65492","6.85109","1.5556","7170","1049","thing","Pacific Ocean","1","3","10","10","10","2023","1,2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Pack the Essentials","295134","0","0","0","0","0","0","0","1","0","0","1","3","","","","","","128522588","5.53825","6.56302","1.5","14616","255","thing","Pack the Essentials","1","4","30","30","20","2025","3,4","4","8","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Paddle Pool","23270","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","117352840","5.50861","5.89896","1","22390","54","thing","Paddle Pool","2","4","10","10","10","1970","2,3,4","4","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Pagoda","154003","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","101074300","5.96471","6.62962","1.8636","3323","2904","thing","Pagoda","2","2","45","45","30","2014","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Paint the Roses","253759","0","0","0","0","0","0","0","1","0","0","1","2","","","","","","86556875","6.39358","7.1741","2.4528","1563","4786","thing","Paint the Roses","2","5","70","70","50","2022","2,3,4,5","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Paint the Roses: Escape the Castle","348997","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","113803699","5.59513","7.52311","3","0","1206","thing","Paint the Roses: Escape the Castle","2","5","60","60","60","2022","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Pairs","152237","5","15","1","1","0","0","0","0","0","0","0","1","#small","Push Your Luck","","","","58439554","5.91286","6.332","1.1321","3680","6505","thing","Pairs","2","8","15","15","15","2014","3,4,5,6,7,8","5,6","6+","No necessary in-game text","","","","","","standalone","823464002416","6.27","USD","","","2019-03-01","eBay","1","","","2019-03-14","","","",""
"Pakal","274349","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","79720462","5.86206","6.97037","1.2273","4080","1716","thing","Pakal","2","4","20","20","20","2020","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Paku Paku","214491","6","1","0","0","0","0","0","0","0","0","0","3","","","","","","113493257","5.80726","6.51376","1","4593","2311","thing","Paku Paku","2","8","10","10","10","2017","3,4,5,6","5","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Palaces of Carrara","129948","6.5","1","0","0","0","0","0","1","0","0","0","2","","","","","","78297195","6.6031","7.11718","2.5878","1064","4865","thing","The Palaces of Carrara","2","4","60","60","60","2012","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Palaces of Carrara (Second Edition)","348070","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","88319592","5.98034","7.43216","2.6923","3229","2107","thing","The Palaces of Carrara (Second Edition)","2","4","90","90","60","2022","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Paladins of the West Kingdom","266810","7.8","6","4","1","0","0","0","0","0","0","0","1","","","","","","76119907","7.66319","7.95947","3.714","77","32037","thing","Paladins of the West Kingdom","1","4","120","120","90","2019","1,2,3","2","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","793591084473","31","USD","","","2024-09-09","Facebook","1","","","2024-09-10","","","",""
"Paladins of the West Kingdom: 2019 Promos","274782","7.4","0","0","1","0","0","0","0","0","0","0","3","","","","","","125058759","5.82881","7.957","3","0","2467","thing","Paladins of the West Kingdom: 2019 Promos","1","4","120","120","60","2019","2","2","","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","2024-09-09","Facebook","1","","","2024-09-10","","","",""
"Paleo","300531","6.8","3","0","0","0","0","0","0","0","0","0","1","","","","","","74328321","7.30878","7.65839","2.6444","225","28261","thing","Paleo","2","4","60","60","45","2020","1,2,3,4","2,3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
